>>L<<Russian	>>L<<English
Слово Силы - проклятье	Power Word - Curse
Слово Силы - удержание	Power Word - Hold
Слоновник	Elephant Pen
Слуга Смерти	Servant of Death
Слуги Смерти	Servants of Death
Случайно	Random
Смена оружия (X)	Change Weapon (X)
Смена типа	Change Type
Смертельное касание	Deadly Touch
Смертельное облако	Death Cloud
Смертельный ужас  	Deadly Terror
Смертные уничтожены	Mortals Destroyed
Смертный страх	Deadly Terror
Смертный	Mortal
Смешанный	Mixed
Смешение земель	Land Mix
Смотровая башня	Watchtower
Смотровые холмы	Outlooker Hills
Снайпер	Sniper
Снежный буран 	Blizzard
Снижение износа предметов	Item Maintenance
Снижение цены заклятий	Decrease Spell Cost
Снос построек	Demolish Building
Снятие чар	Dispel
Со	So
Собор Бессмертных	Chapel of Immortals
Собор Великого Орла	Great Eagle Chapel
Собор Света	Cathedral of Light
Собрать снаряды (P)	Gather Ammo (P)
Совиная дубрава	Owl Oakwood
Согласиться	Agree
Сожжение снарядов	Burn Ammo
Создание герба	Create banner
Создание голема	Create Golem
Создание горгульи	Create Gargoyle
Создатели	Credits
Создать карту	Create Map
Сокровища	Treasure
Сокровищница Древних	Ancient Vault
Сокровищница и торговцы (A)	Treasury and Shops (A)
Сокровищница	Treasury
Сокрушающий удар	Crushing Blow
Сокрушение зла	Smite Evil
Солдатские боты	Soldier's Overshoes
Солнечный взрыв	Solar Blast
Солнечный дол	Sunny Vale
Солнечный Луч	Sunbeam
Сон	Asleep
Сообщения	Messages
Сопротивление	Resistance
Соррелон	Sorrelon
Сортировать по возрастанию	Sort in increasing order
Сортировать по доходу золота (2)	Sort by gold income (2)
Сортировать по доходу кристаллов (3)	Sort by gem income (3)
Сортировать по исследованности (7)	Sort by exploration value (7)
Сортировать по количеству населения (4)	Sort by population (4)
Сортировать по количеству построек (0)	Sort by number of buildings (0)
Сортировать по настроению (5)	Sort by mood (5)
Сортировать по недовольству (6)	Sort by unrest (6)
Сортировать по особым местам (9)	Sort by locations (9)
Сортировать по расе (8)	Sort by races (8)
Сортировать по убыванию	Sort in decreasing order
Сортировать по удалению от замка (1)	Sort by distance from stronghold (1)
Сосновый остров	Pinetree Island
Состояние укреплений	Condition of Fortifications
Сотворение карты...	Creating Map...
Сотворение	Creation
Сохранение...	Saving...
Сохранить	Save
Союз с Белезом	Alliance with Beleth
Союз	Alliance
Союзники	Allies
Спасение эльфиек	Rescue the Elfmaids
Спектр	Spectre
Список провинций (P)	List of Provinces (P)
Спокойны	Quiet
Способности лича	Lich abilities
Спящий лес	Sleeping Forest
Средне	Average
Средний	Average
Средняя броня	Medium Armor
Ссаишш	Ssaishh
Стальная гряда	Steel Ridge
Стальное кольцо	Steel Ring
Старинный меч	Ancient Sword
Старое урочище	Old Stow
Старопогостье	Oldgraves
Старополье	Oldfields
Старые Ветряки	Old Windmills
Старые рудники	Old Mines
Старые Хлеба	Old Corns
Старый ветряк	Old Windmill
Статистика	Statistics
Стать арбалетчиком	Become Crossbowman
Стать архимагом	Become Archmage
Стать атаманом	Become Gang Leader
Стать бандитом	Become Bandit
Стать баньши	Become Banshee
Стать боевым грифоном	Become Battle Gryphon
Стать валькирией	Become Valkyrie
Стать варваром	Become Barbarian
Стать ветераном	Become Veteran Spearman
Стать вором	Become Thief
Стать головорезом	Become Cutthroat
Стать живоглотом	Become Swallower
Стать жнецом	Become Reaper
Стать извергом	Become Fiend Lord
Стать кавалеристом	Become Cavalryman
Стать мумией	Become Cadaver
Стать камнеметом	Become Stone Thrower
Стать капитаном	Become Captain
Стать карателем	Become Punisher
Стать кешиком	Become Keshik
Стать конунгом	Become Konung
Стать копейщиком	Become a Spearman
Стать лекарем	Become Healer
Стать лучником	Become Archer
Стать мастеровым	Become Workman
Стать мастером меча	Become Swordmaster
Стать метателем копий	Become Bone Spearman
Стать мечником	Become Swordsman
Стать мумией	Become Mummy
Стать некромантом	Become Necromancer
Стать одержимым	Become Posessed
Стать патриархом	Become Patriarch
Стать патрульным	Become Sentinel
Стать пикинером	Become Pikeman
Стать потрошителем	Become Ripper
Стать пращником	Become Slinger
Стать проповедником	Become Preacher
Стать разбойником	Become Brigand
Стать ревнителем веры	Become Faith Devotee
Стать рейнджером	Become Ranger
Стать снайпером	Become Sniper
Стать стражем	Become Sentinel
Стать стрелометом	Become Glaive Thrower
Стать телохранителем	Become Bodyguard
Стать целителем	Become Grand Healer
Стать цербером	Become Cerberus
Стать чемпионом	Become Champion
Стать шаманом	Become Shaman
Стая гноллов	Gnoll pack
Стеганая куртка	Quilted Jacket
Стена	Wall
Стенающие земли	Weeping Lands
Степи Бледной Луны	Pale Moon Steppes
Степи Буйвола	Buffalo Steppes
Степи Гончих Псов	Hound Steppes
Степи Дикарей	Savage Steppes
Степи кочевников	Nomad Steppes
Степи сагиров	Saguir Steppes
Степи Тайраков	Tyrak Steppes
Степной край	Steppe Country
Стилет Убийцы	Assassin's Stiletto
Стилет	Stiletto
Стинхрия	Stenriya
Стихийная неуязвимость	Elemental Immunity
Стойбище кентавров	Centaur Stables
Стойла пегасов	Pegasi Stable
Стоимость в золоте	Cost in Gold
Стоимость в кристаллах	Cost in Gems
Стоимость	Cost
Сторожевая башня	Lookout Tower
Стоунхендж	Stonehenge
Стоячие камни	Standing Stones
Страж границ	Border Sentinel
Страж	Squire
Стража Ящеров	Lizard Guards
Стражи границ	Border guards
Стражи гробниц	Guardians of the Tomb
Стражи Древних	Ancient Guards
Стражи лабиринта	Labyrinth Guards
Стражи леса	Forest Guards
Стражи обители	Guardians of the monastery
Стражи	Guards
Стражники	Guards
Страница вверх (PgUg)	Page Up (PgUp)
Страница вниз (PgDn)	Page Down (PgDn)
Стратег	Strategist
Страх	Fear
Страшный	Demonic Horror
Стрелковая тактика	Ranged Tactics
Стрелковое искусство	Archery
Стрелковое оружие	Ranged Weapon
Стрелок	Archer
Стреломет	Arrow Thrower
Стреломёт	Glaive Thrower
Стрелы налётчика	Raider's Arrows
Стрелы Проклятых	Arrows of the Damned
Стрелы Ренвера	Renver's Arrows
Стрелы Смерти	Arrows of Death
Стрелы Степняков	Nomad Arrows
Стрельбище	Shooting Ground
Стрельцовы пущи	Archers Thicket
Стремительность	Swiftness
Стремительный поток	Rapid Stream
Строительство в замке (C)	Construction in the Stronghold (C)
Стролг	Strolg
Стяг Герскила	Herskil's Banner
Стяг Древних	Banner of the Ancients
Стяг Защиты	Banner of Defence
Стяг мертвецов	Banner of the Dead
Стяг Ярости	Banner of Fury
Суд	Court
Суицид	Suicide
Суккуб	Succubus
Сумеречное братство	Dark Brotherhood
Сумеречный глаз	Eye of Twilight
Сумеречный лес	Twilight Wood
Сумрачная пустошь	Dusky Wasteland
Сухая круча	Dry Banks
Суходол	Dryvale
Сфера Ветров	Sphere of Winds
Сфера Вечности	Sphere of Ages
Сфера Знаний	Sphere of Knowledge
Сфера Камня	Sphere of Stone
Сфера Льда	Sphere of Ice
Сфера Мудрости	Sphere of Wisdom
Сфера Мысли	Sphere of Thought
Сфера Памяти	Sphere of Memory
Сфера Пламени	Sphere of Flame
Сфера Разрушения	Sphere of Destruction
Счастливы	Happy
Сшамат	Sshamath
Сшиндилрин	Sschindylryn
Съесть труп (T)	Eat Corpse (T)
Табрийские степи	Tabria Steppes
Табун лошадей	Horse Herd
Таверна	Tavern
Тавматургия	Thaumaturgy
Таврова пуща	Taur's Thicket
таин	tain
Тайная библиотека	Secret Library
Тайная гильдия	Secret Guild
Тайная лощина	Secret Hollow
Тайник Древних	Ancient Cache
Тайные агенты	Secret Agents
Тайный монастырь	Secret Monastery
Тайный остров	Secret Island
Тактик	Tactician
Тактика атаки	Offensive Tactics
Тактика защиты	Defensive Tactics
Талант Архимага	2 Spells Per Turn
Тан	Tan
Танцующий-с-клинками	Blade Dancer
Тараны	Rams
Тарбандир	Tarbandyr
Тарг	Targ
Таркард	Tarkard
Тарлос	Tarlos
Тарраск	Tarrasque
Тварь Хаоса	Chaos Spawn
Твердыня Хаоса	Chaos Stronghold
Театр	Theater
Текущая выносливость	Current Stamina
Текущая длительность заклинания	Current duration of the spell
Текущая жизнь	Current HP
Текущая сила заклинания	Current power of the spell
Текущая скорость	Current Speed
Текущее значение	Current Value
Текущие задания	Current Quests
Текущий боевой дух	Current Morale
Текущий запас выстрелов	Current Ammo
Телепорт	Teleport
Телосложение	Constitution
Телохранитель	Bodyguard
Тель	Tel
Тёмная башня	Dark Tower
Тёмная жрица	Dark Priestess
Темная пещера	Dark Cave
Тёмная сталь	Dark Steel
Темница кобольдов	Kobold Prison
Темница	Dungeon
Тёмное братство	Dark Brotherhood
Тёмное возрождение	Dark Revival
Тёмное пастбище	Dark Stables
Тёмное Пламя	Dark Flame
Тёмное серебро	Dark Silver
Тёмные друиды	Dark Druids
Тёмные эльфы	Dark Elves
Тёмный бор	Dark Pinewood
Тёмный доспех	Dark Armor
Тёмный мститель	Dark Avenger
Тёмный Пакт	Dark Pact
Тёмный путь	Dark Path
Темный ритуал  	Dark Ritual
Теневая гильдия	Shadow Guild
Тенета	Mass Web
Теплый плащ	Warm Cloak
Тер	Ter
терг	terge
Терема	Chambers
Терианский лес	Teriane Wood
Терпимость	Tolerance
Тесак Мясника	Butcher's Cleaver
Тесак	Cleaver
Тиара Оинора	Oinor's Tiara
Тиара Чистоты	Tiara of Innocence
Тил-Ларан	Tyl-Laran
Тип местности	Terrain type
Тип провинции	Province type
Тирисед	Tyrysed
Тихая дубрава	Quiet Oakwood
Тихая равнина	Quiet Plains
Тихая роща	Quiet Grove
Тихий омут	Still Waters
Тобангар	Tobangar
Тога Колдуна	Sorcerer's Toga
Тога	Toga
тон	ton
Тонкар	Tonkar
Топазовый браслет	Topaz Bracelet
Топазовый перстень	Topaz Ring
Топи Закаменелых	Petrified Bogs
Топи Серой Тины	Gray Ooze Bogs
Топкий дол	Marshvale
Топкий остров	Marshy Island
Топкозеро	Boglake
Топор Берсерка	Berserker's Axe
Топор Палача	Executioner's Axe
Топор экзекутора	Executioner's Axe
Топь	Bog
Торги	Tradeton
Торговая палата	Chamber of Commerce
Торговля	Trade
торговца	Curio Store
Торговые ряды	Mall
Торговый договор	Trade Agreement
Торговый квартал	Trade Quarter
Торговый центр	Trade Center
Торжок полуросликов	Border Post
Торова гряда	Tor's Ridge
Торс	Torso
Торфяные болота	Turf Swamps
Тотем	Totem
Точный арбалет	Accurate Crossbow
Точный выстрел	Precise Shot
Точный удар	Precise Strike
Травмирован	Injured
Трайфор	Treyephor
Трактир	Pub
Требует	Requests
Тренировочные залы	Practice Halls
Третий круг	Third Circle
Трилуга	Threemeadow
Тритоний ручей	Triton Creek
троллей	Trolls
Тролли	Trolls
Троллиная куртка	Troll's Jacket
Троллиные болота	Troll Swamps
Троллиный омут	Trollpool
Тролль	Troll
Трофеи	Spoils
Трупоед	Necrophage
Трупоедство	Necrophagy
Трясина	Quagmire
Тугой лук	Strongbow
Туманные болота	Misty Swamps
Туманный дол	Misty Vale
Тундра	Tundra
Туника Оинора	Oinor's Tunic
Туника	Tunic
Тунримовы степи	Tunrim's Steppes
Тунримовы холмы	Tunrim's Hills
Турмгард	Thurmgard
Тусклое нагорье	Dim Highland
Туфли Воплощений	Shoes of Incarnation
Туфли посланника	Emissary's Boots
Туфли	Shoes
Туча ос	Wasp Cloud
Тюрбан	Turban
Тяжелая броня	Heavy Armor
Тяжёлая булава	Heavy Mace
Тяжелое оружие	Heavy Weapon
Тяжелые сапоги	Heavy Boots
Тяжелые снаряды	Heavy Missiles
Тяжёлые снаряды	Heavy Ammo
Тяжёлые стрелы	Heavy Arrows
Тяжелый арбалет	Heavy Crossbow
Тяжелый наруч	Heavy Bracers
Убийца демонов	Demon Slayer
Убийца	Assassin
Увеличенная плата	Increased Upkeep
Уволить героя	Dismiss Hero
Уволить стража	Dismiss Guard
Увольнение стражей	Dismiss Guards
Угринское всхолмье	Urgin Hillside
Угрюмый бор	Gloomy Pinewood
Удаление	Delete
Удача рецидивиста	Offender's Luck
Удешевление ресурса	Cheaper Resource
Ужасный медведь	Dire Bear
Укажите жертву	Select Sacrifice
Укажите цель	Select Target
Украденные инструменты	Stolen Tools
Укрепления	Fortifications
Укрепленный щит	Reinforced Shield
Уль Даган	Ul-Dagan
Ульвар	Ulvar
Умелец кольчуг	Journeyman Mailmaker
Умелец лат	Journeyman Armorer
Умелец оружейник	Journeyman Smith
Умелец плотник	Journeyman Carpenter
Умелец портной	Journeyman Tailor
Умелец скорняк	Journeyman Tanner
Умелец чародей	Journeyman Enchanter
Умелец ювелир	Journeyman Jeweler
Умения архимага	Archmage ablities
Умения и свойства	Skills and Properties
Умения монаха	Faith Devotee ablities
Умения некроманта	Necromancer ablities
Умения патриарха	Patriarch ablities
Уменьшение платы войскам	Lower Upkeep
Умертвие	Death Incarnate
Уничтожение Врат	Destroying the Gates
Уничтожено тварей Хаоса	Chaos Spawns Destroyed
Упокоение вампиров	Laying Vampires to Rest
Упокоение зомби	Laying Zombies to Rest
Упокоение призраков	Laying Ghosts to Rest
Упокоение скелетов	Laying Skeletons to Rest
Упокоение упырей	Laying Ghouls to Rest
Управа	Town Council
Упырёвы топи	Ghoul Bogs
Упырь	Ghoul
ур.	Lvl.
Ур	Ur
Ургинское всхолмье	Urgin Hillside
Урдук Кир	Urduk Kir
Уровень населённости	Population Level
Уровень опыта	Experience Level
Уровень призванного существа	Level of summoned creature
Уровень сложности	Difficulty Level
Уровень	Level
Урс	Urs
Уруг-Хыш	Urug-Khysh
Уруд Индир	Urud Yndir
Ускорение	Hasted
Усталость	Fatigue
Уст-Ната	Ust Natha
Устрашение	Intimidation
Утёсы Гарпий	Harpy Cliffs
Утяжеление	Weighing
Утяжелённые стрелы	Heavy Arrows
Уязвимость	Vulnerable
Фавринская равнина	Fawrin Plains
Фальхорн	Falhorn
Фанатизм	Fanaticism
Фанатик веры	Zealot
Фантом	Phantom
Фантомная форма	Phantom Form
Фаркол	Farcol
Феерия	Extravaganza
Феникс	Phoenix
Фер	Fer
Фергеаст	Fergeast
Фермерский рынок	Farmers Market
Филлир	Phyllyr
Флаг Бесстрашия	Flag of Intrepidity
Флаг Неутомимости	Flag of Tirelessness
Фламберг	Flamberge
Фонтан Молодости	Fountain of Youth
Форма Дракона	Dragon Form
Форпост гноллов	Gnoll's Outpost
Форт	Fort
Фросс	Fross
Фуражир	Forager
Фэйри	Fairy
Халат посланника	Emissary's Robe
Характер	Personality
Харез	Charez
Хижина шамана	Shaman's Hut
Хлебный дол	Bread Vale
Хмельные поля	Hopfields
Хмурые чащобы	Gloomy Thickets
Хнара	Hnara
Ход противника...	Enemy Turn...
Ход	Turn
Ходов	Turns
Холм	Hill
Холмистая межа	Hilly Sideland
Холмистый край	Hilly Country
Холмова гряда	Holme's Ridge
Холмогоры	Hillridges
Холмы Катархов	Catharch Hills
Холмы Кобольдов	Kobold Hills
Холмы крикунов	Screecher Hills
Холмы Крыланов	Winged Hills
Холмы людоедов	Ogre Hills
Холмы Топотунов	Trampler Hills
Холмы	Hills
Холодное оружие	Melee Weapon
Холодное Солнце	Cold Sun
Холщевый наруч	Cloth Bracers
Хорадрический куб	Horadric Cube
Хорд	Chord
Храм Бессмертных	Temple of Immortals
Храм Войны	Temple of War
Храм Древних	Ancient Temple
Храм Жизни	Temple of Life
Храм Мира	Temple of Peace
Храм Орла	Temple of the Eagle
Храм Света	Temple of Light
Храм Силы	Temple of Strength
Храм Хаоса	Temple of Chaos
Храмовый квартал	Temple Quarter
Храмы	Temples
Хранители леса	Forest Keepers
Хранители мира	Keepers of Peace
Хранитель Тайн	Arcane Keeper
Хребет Камнепадов	Stonefall Edge
Хрустальная сфера	Crystal Sphere
Хутор половинчиков	Halfling Farm
Ххаишшасс	Khhaishhass
Хэг-Рышш	Hag-Rysh
Целебный круг	Healing Circle
Целебный сон	Healing Sleep
Целитель	Grand Healer
Целительство	Healing
Цена покупки	Buying Price
Цена продажи	Selling Price
Цена ремонта	Repair Price
Центральный квартал	Central Quarter
Цепь молний	Chain Lightning
Цербер	Cerberus
Церковь	Church
Циклоп	Cyclops
Циклопова пята	Cyclops' Heel
Цитадель гноллов	Gnoll Citadel
Цитадель гномов	Dwarven Citadel
Цитадель гоблинов	Goblin Citadel
Цитадель дроу	Drow Citadel
Цитадель кентавров	Centaur Citadel
Цитадель орков	Orcish Citadel
Цитадель половинчиков	Halfling Citadel
Цитадель эльфов	Elven Citadel
Цитадель ящеров	Lizardmen Citadel
Цитадель	Citadel
Чародеи Изравиуса	Izravius Sorcerers
Чародеи	Battlemages
Чародей	Battlemage
Чародейская роща	Sorcerer's Grove
Чаша Жизни	Chalice of Life
Чаща	Thicket
Чед-Нассад	Ched Nasad
Чекан	Horse Pike
Челобитные земли	Petition Lands
Чемерисовы пади	Chemeris Folds
Чемпион Арены	Arena Champion
Чемпион	Champion
Червивый лес	Worm Forest
Черная башня	Black Tower
Черная магия	Black Magic
Черная трясина	Black Morass
Чёрная чащоба	Black Thicket
Чернокамень	Blackrock
Чернокнижник	Warlock
Чёрные овраги	Black Ravines
Чёрный замок	Black Castle
Чёрный лотос	Black Lotus
Черный омут	Black Lotus Marsh
Чёрт	Fiend
Чертёж постройки	Building Schematics
Чёртова горка	Demon's Mount
Чёртовы топи	Demon Bogs
Черторой	Fiendhive
Четвёртый круг	Fourth Circle
Чешуйчатая кольчуга	Scale Mail
Чешуя Хасарта	Scales of Chassarth
Чольссин	Chaulssin
Чудесное оружие	Enchanted Weapon
Чудесный лес	Wondrous Wood
Чудные земли	Wondrous Lands
Чудо	Miracle
Чудовища	Monsters
Чудовище	Behemoth
Чума	Mass Disease
Шагающий лес	Walking Wood
Шайка воров	Gang of Thieves
Шайка разбойников	A gang of robbers
Шаман	Shaman
Шапка Следопыта	Ranger's Cap
Шаровая молния	Lightning Ball
Шатер вождя	Chieftain's Tent
Шатер Клана	Clan Tent
Шатёр охотников	Hunter's Tent
Шатры кентавров	Centaur Tents
Шахта	Mine
Шелковые перчатки	Silk Gloves
Шелковый наруч	Silk Bracers
Шепчущий лес	Whispering Wood
Шерстяные перчатки	Woolen Gloves
Шестопёр	Flanged Mace
Шинордиум	Shinordium
Шипастый щит	Spiked Shield
Шипящая пустошь	Hissing Wasteland
Школа арбалетчиков	Crossbowman School
Школа волшебства	School of Wizardry
Школа Высшей магии	School of High Magic
Школа колдовства	School of Sorcery
Школа копейщиков	Spearman School
Школа мечников	Swordsman School
Школа некромантии	School of Necromancy
Школа пикинеров	Pikeman School
Школа пращников	Slinger School
Школяр	Scholar
Шлем авантюриста	Adventurer's Helmet
Шлем Безумия	Helmet of Madness
Шлем Бесстрашия	Helmet of Intrepidity
Шлем Василиска	Basilisk Helmet
Шлем Величия	Helmet of Grandeur
Шлем Ветерана	Veteran's Helmet
Шлем Гарроса	Garros's Helmet
Шлем Героя	Hero's Helmet
Шлем Герскила	Herskil's Helmet
Шлем Грифона	Gryphon Helmet
Шлем Дариола	Dariol's Helmet
Шлем Доблести	Helmet of Valor
Шлем Древних	Helm of the Ancients
Шлем дроу	Drow's Helmet
Шлем Единорога	Unicorn Helmet
Шлем Командира	Commander's Helmet
Шлем Мантикоры	Manticore Helmet
Шлем Орла	Eagle Helmet
Шлем Паладина	Paladin's Helmet
Шлем Победителя	Victor's Helmet
Шлем экзекутора	Executioner's Helmet
Шлем-череп	Skull-Helmet
Шляпа Волшебника	Wizard's Hat
Шляпа Иллюзий	Hat of Illusion
Шляпа Торговца	Merchant's Hat
Шляпа	Hat
Шторм	Storm
Штурмовое орудие	Siege Weapon
Шудольский лес	Shoudole Wood
Шумана	Shumana
Шши-Ссиихх	Shhi-Ssyykhh
Шых-Руггах	Shykh-Ruggakh
Щит Воина	Warrior's Shield
Щит предков	Ancestral Shield
Щит рецидивиста	Offender's Shield
Щит	Shield
Щитолом	Shieldbreaker
Экзорцизм	Exorcism
Экономика	Economics
Экран героя (G)	Hero Screen (G)
Эксперт	Expert
Электрошок	Electric Shock
Элементал воды	Water Elemental
Элементал воздуха	Air Elemental
Элементал земли	Earth Elemental
Элементал огня	Fire Elemental
Элементал	Elemental
Элементалистка	Elemental Mistress
Элементалы	Elementals
Элеран	Eleran
Эллиен	Allien
Эльф	Elf
Эльф-всадник	Elf-horseman
Эльф-друид	Elf-druid
Эльфийская армия	Elven army
Эльфийская кольчуга	Elven Chainmail
Эльфийская пуща	Elven Grove
Эльфийская роща	Elven Grove
Эльфийская стража	Elven Guards
Эльфийские клинки	Elven Blades
Эльфийские стрелы	Elven Arrows
Эльфийский гарнизон	Elven Garrison
Эльфийский квартал	Elven Quarter
Эльфийский лес	Elven Forest
Эльфийский лук	Elven Bow
Эльфийский отряд	Elven squad
Эльфийский театр	Elven Theater
Эльфийское ожерелье	Elven Necklace
Эльф-мечник	Elf-swordsman
Эльфы	Elves
Энергия	Energy
Эрду	Erdu
Эри	Eri
Эрикуба	Ericuba
Эрнизар	Ernizar
эрс	ers
Эрт	Erth
Эфирный арбалет	Ethereal Crossbow
Эффекты	Effects
Эшафот	Scaffold
Юный кентавр	Young Centaur
Ягодная ферма	Berry Farm
Яд	Poison
Яд болот	Swamp Poison
Яд дроу	Drow Poison
Ядовитая атака	Poison Attack
Ядовитая плоть	Poison Flesh
Ядовитое кольцо	Poison Ring
Ядовитый выстрел	Poison Shot
Ядовитый удар	Poison Bite
Яйцо василиска	Basilisk's Egg
Яйцо виверны	Wyvern's Egg
Яйцо гидры	Hydra's Egg
Яйцо мантикоры	Manticore's Egg
Яйцо медузы	Medusa's Egg
Яйцо птицелова	Birdeater's Egg
Яйцо феникса	Phoenix' Egg
Яйцо эрикубы	Ericuba's Egg
Ярбангир	Yarbanguir
Ярго	Jargo
Ярмарка полуросликов	Fair
Яростная атака	Mass Attack
Ярость орды	Horde's Rage
Ярость предков	Ancestral Rage
Ярость	Rage
Ятаган	Scimitar
Ящеровы топи	Lizard Bogs
Ящер-страж	Lizardman-sentinel
Ящер-стрелок	Lizardman Archer
Ящер-чемпион	Lizardman-champion
Ящер-шаман	Lizardman-shaman
Авантюрист	Adventurer
Архимаг	Archmage
Атаман	Gang Leader
Берсерк	Berserker
Боевой чародей	Warwizard
Буровик	Driller
Быстрое заживление	Quick Restoration
Великий Крысс	Grand Ratt
Верховный друид	Archdruid
Верховный жрец	High Priest
Воевода	Warlord
Вождь	Chieftain
Воиналкари	Alkari-warrior
Вольныйстрелок	Rogue Archer
Врата Хаоса	Gates of Chaos
Вызов воина алкари	Summon Alkari-warrior
Вызов капитана алкари	Summon Alkari Captain
Вызов клерика алкари	Summon Alkari-cleric
Генерал	General
Генералалкари	Alkari General
Гигантская крыса	Giant Rat
Главарь	Ringleader
Гном-поджигатель	Dwarven Firestarter
Гном-подрывник	Dwarven Bomber
Гномья давилка	Dwarven Crusher
Гномья мортира	Dwarven Mortar
Головорез	Mercenary
Друид	Druid
Душеловка	Soul Trap
Егерь	Ranger
Жрец	Priest
Капитаналкари	Alkari Captain
Клерикалкари	Alkari-cleric
Коготь тени	Shadow Claw
Колдун	Sorcerer
Колосс	Colossus
Крысиный Король	Rat King
Крысолюд	Ratman
Крысоогр	Ratogre
Ликан	Lycan
Маг	Mage
Малефикар	Maleficar
Маршал	Marshall
Мастер-некромант	Master Necromancer
Мастер-убийца	Master Assassin
Метатель огня	Firebreather
Мефит	Mephit
Молниевая пушка	Lightning cannon
Некромант	Necromancer
Паладин	Paladin
Повелитель Распада	Master of Decay
Пойманная душа	Trapped Soul
Полководец	Battlemaster
Похоронный звон	Death Bell
Призвать мефита	Summon Mephit
Приступ боли	Strike of Pain
Рыцарь света	Holy Knight
Рыцарь смерти	Death Knight
Рыцарь тьмы	Dark Knight
Свежеватель	Ripper
Следопыт	Pathfinder
Смертокрыс	Ratclaw
Снайпер	Sharpshooter
Стальной голем	Iron Golem
Старший конструктор	Master Constructor
Страж Даокона	Daokon's Guardian
Стратег	Strategist
Стрелок	Archer
Тактик	Tactician
Убийца	Assassin
Чародей	Battlemage
Чёрныйединорог	Black Unicorn
Чумной Воин	Plague Warrior
Чумострел	Plague Shooter
Штурм-крыс	Assault Rat
Астральный шпион	Astral Spy
Вольный Стрелок	Deadeye
Великий вождь	Great Chieftain
Развалины башни	Tower Ruins
Усыпальница	Burial Vault
Старый особняк	Old Mansion
Логово оборотня	Werewolf Lair
Тёмная лощина	Dark Hollow
Подземный грот	Underground Cave
Катакомбы	Catacombs
Старые стоки	Old Sewers
Нора крысолюдов	Ratman Burrow
Канализация	Sewerage
Цех бурильщиков	Digger Workshop
Храм клана Чумы	Pests Clan Temple
Башня Тьмы	Tower of Darkness
Кокон Тьмы	Cocoon of Darkness
Сияние Тьмы	Blinding Darkness
Теневая форма мотылька	Shadow Form Butterfly
Астральный паразит	Astral Parasite
Руки Тьмы	Hands of Darkness
Тёмный выкуп	Dark Redemption
Глухая оборона	Shield Wall
Свидетельство веры	Test of Faith
Мор	Pestilence
Варево	Concoction
Газовый снаряд	Gas Bomb
Лихорадка	Fever
Истощение	Exhaustion
Чёрная чума	Black Plague
Слепая вера	Blind Faith
Ядовитый дождь	Poison Rain
Чёрная кровь	Black Blood
Газовая форма	Gaseous Form
Защита Вотула	Votul's Defense
Леденящее касание	Chilling Touch
Вечный свет	Eternal Light
Ярость небес	Heaven's Rage
Жаждой крови	Bloodlust
бдительность	vigilance
стрелковая атака	ranged attack
Астральный раскол	Astral Schism
Слово Лорда	Word of the Lord
Ментальная поддержка	Mental Support
Ментальный поединок	Mental Duel
Ментальная проповедь	Mental Sermon
Ментальный резонанс	Mental Resonance
Подвиг веры	Act of Faith
Ментальная тень	Mental Shadow
Ловчая сеть	Hunter's Net
Кровотечение	Bleeding
Повреждена аура	Damaged Aura
Каменная форма	Stone Statue
Поцелуй Тьмы	Kiss of Darkness
Ярость альваров	Alvari Rage
Тёмное равновесие	Dark Balance
святым воителем	Paragon of Light
Кровь тени	Blood Shadow
Стимул	Stimulus
Знание территорий	Terrain Knowledge
восстанавливает	restores
Дрожащая тень	Trembling Shadow
первого удара	first strike
Танец теней	Shadow Dance
Горит	Burning
Всплеск Тьмы	Darkness Surge
Шторм Тьмы	Storm Shadow
Не сражается	Does not fight
Не перемещается	Does not move
Когти тени	Shadow Claws
крысоеды	Rat Reaper
Техномаги	Technomages
клана Скрежет	Skirr Clan
Искатели	Seekers
Теневая форма Алчущего	Shadow Form Craver
Теневая форма Избранной	Shadow Form Chosen
Менторы	Mentors
Шок	Shock
болотных стрекоз	Swamp Dragonflies
штурмовых орудий	siege weapons
Волшебные стрелы	Magical arrows
Созерцателей	Beholder
Гномья кузня	Dwarven Forge
гномов-кузнецов	Dwarven Blacksmiths
гномов-инженеров	Dwarven Engineers
гоблинов-чародеев	Goblin Sorcerers
сады чародеев	Battlemage Garden
болотистых	swamp
Скипетр экзекутора	Executioner's Axe
кобольдов-рабов	Kobold Slaves
Гильдия рабовладельцев	Slaveholders Guild
погонщиков	Slavedrivers
Чёрный Отряд	Black Band
Крепость охотников	Hunter Stronghold
Храм Тени	Temple of Shadows
тёмных жриц	Dark Priestesses
Посвящённые Сумерек	Twilight Initiates
Башня Тени	Tower of Shadows
Цитадель Тени	Citadel of Shadows
Избранных Тьмой	Darkness Chosen
Алчущих Тьмы	Darkness Cravers
Армия Тьмы	Army of Darkness
Академия Тьмы	Academy of Darkness
стражей Тьмы	Darkness Guards
Сердце Ночи	Heart of the Night
Зов Тьмы	Call of Darkness
Икаров	Icari
Призыв Икара	Summon Icarus
Светочей	Luminaries
Ловчих	Stalkers
Боевое Крыло	Combat Wing
Свидетелей	Witnesses
Белая башня	White Tower
Небесное око	Celestial Eye
Кристальные столпы	Crystal Pillars
Вечных менторов	Eternal Mentors
Небесная эскадрилья	Celestial Squadron
Хранителей памяти	Memory Keepers
